Kinase,UniprotID,Score
CDK2,P24941,0.25622269818394094
MAPK9,P45984,0.2897394884209233
RPS6KB2,Q9UBS0,0.3939059107370833
MAPK10,P53779,0.3405647641733213
MAPK8,P45983,0.3405647641733213
PRKCA,P17252,0.42007375803800806
PRKY,O43930,0.3322679441019318
MAPK12,P53778,0.3196814005265457
PRKX,P51817,0.4211831447593033
MAPK13,O15264,0.37208511082360174
PRKG2,Q13237,0.4493724005281445
PRKACA,P17612,0.46884769154907113
MAPK3,P27361,0.38671263449665244
NPR2,P20594,0.38617028051234
PRKCB,P05771,0.43442296154245774
CSNK1A1,P48729,0.40048045975994623
MAPK14,Q16539,0.4024178722824246
SGK2,Q9HBY8,0.4470807184819793
PSKH1,P11801,0.3725002582878689
RPS6KA4,O75676,0.372382026631099
CDK4,P11802,0.37614297284679576
AKT3,Q9Y243,0.4293221006434239
NPR1,P16066,0.4501732083585339
DCLK2,Q8N568,0.4414366522540347
MYLK3,Q32MK0,0.4012818092459361
CDK6,Q00534,0.3945747640406557
SGK3,Q96BR1,0.4541260899247492
MAPK7,Q13164,0.4242097403219348
MTOR,P42345,0.43488121041013555
CAMK2A,Q9UQM7,0.4503346368637568
AURKB,Q96GD4,0.4488413543867293
CHEK1,O14757,0.45355187525019874
MAPK1,P28482,0.4400549049187145
PRKACB,P22694,0.4788850355741629
CDK3,Q00526,0.42919964484552486
MAPKAPK2,P49137,0.48115622951911696
STK38L,Q9Y2H1,0.4571618177921609
MAPKAPK3,Q16644,0.4830201361787313
CDKL1,Q00532,0.44304962521819347
CAMK2B,Q13554,0.4660526410344726
CDK1,P06493,0.4724595315026306
CHEK2,O96017,0.4871014681294574
PRKG1,Q13976,0.4975376432072608
PRKAA1,Q13131,0.49017600346648355
PRKCG,P05129,0.4931602982304947
SGK1,O00141,0.5116295386183333
CDK7,P50613,0.5258003623411548
PRKCD,Q05655,0.5034308818063206
CAMK4,Q16566,0.5034130386358008
PIM1,P11309,0.5055589841624714
RPS6KB1,P23443,0.5114745221228587
RPS6KA6,Q9UK32,0.5462890113300204
ATR,Q13535,0.5084000037913927
RPS6KA5,O75582,0.5132705513985096
CAMK2G,Q13555,0.5295753440745808
AKT2,P31751,0.5374272512635806
PRKCH,P24723,0.5446748285604764
CDKL5,O76039,0.6226216548315507
CAMK2D,Q13557,0.553463471796997
PRKDC,P78527,0.5634138804753107
IKBKE,Q14164,0.5752625308616192
RPS6KA3,P51812,0.5637950749929403
PIM2,Q9P1W9,0.545429401484596
CHUK,O15111,0.5814635349281527
RPS6KA2,Q15349,0.5797180142623106
CDK11A,Q9UQ88,0.6528310217706648
RPS6KA1,Q15418,0.5859090225270028
PRKCQ,Q04759,0.5646075702279367
CSNK1D,P48730,0.6120143607477486
CDK10,Q15131,0.6169572413982264
CSNK1E,P49674,0.6120143607477486
PKN1,Q16512,0.6193160179438978
MAPK11,Q15759,0.7146863386017188
PLK3,Q9H4B4,0.6608217927500478
CSNK2A1,P68400,0.7773862303804796
ARAF,P10398,NA
BRAF,P15056,NA
PIM3,Q86V86,NA
AKT1,P31749,0.5751637902419072
CDK14,O94921,0.6683261009716893
PRKCZ,Q05513,0.6585028489952425
NUAK1,O60285,NA
PKN2,Q16513,0.6708952628547097
PRKCE,Q02156,0.6529256030809478
ROCK1,Q13464,0.9770024310957927
CDK15,Q96Q40,0.6724394067436299
COQ8A,Q8NI60,0.9623563728866149
DAPK1,P53355,0.8009321916896175
PRKD1,Q15139,0.8304209852833683
CDK17,Q00537,NA
CDK5,Q00535,0.8535926690436696
DAPK3,O43293,0.9721291245825631
NEK8,Q86SG6,0.8951915872940924
PRKAB1,Q9Y478,0.9312507826064638
AURKA,O14965,1.0745198245547551
ROCK2,O75116,1.0952460702229068
PRKCI,P41743,0.9829815823395848
CDK9,P50750,NA
PAK1,Q13153,1.1304538727297542
GSK3B,P49841,1.0503978968108547
IKBKB,O14920,1.2628558798174234
CDK13,Q14004,2.3728629785832798
RAF1,P04049,1.528318113421598
