UniprotID	Score
O75676	3
P05771	1.2571611971427954
P17252	0.990563851722571
Q04759	1.0686307111590567
Q9UK32	-3
Q05655	0.9701256704482897
Q86SG6	1.315132121638884
Q15418	-2.4559686217846397
Q96GD4	1.1368525452988427
P48729	1.0737795186588288
Q8N568	-2.574454692304527
Q96BR1	0.9298936234171222
O96017	-2.3077936210915153
P05129	0.46511314781664925
Q02156	0.288147522041446
Q9UQ88	0.6182118850441931
Q15759	-2.6256732033614822
O00141	0.7623440780828759
O14757	-2.2732970642542836
Q92772	0.5105675024319414
P04049	-2.125133237508577
Q05513	0.328637102042622
P22694	0.10736149359140112
Q13554	0.28129878490509475
Q13237	-0.028694168343177395
Q8NI60	0.023121922339520484
Q13153	0.16097075127223803
Q15349	-1.8465615985235384
O43930	-0.01706921293194208
P53778	-1.7914969422427662
P50613	-0.09701777653744292
Q9HBY8	-0.0717399854886902
P51817	-0.17180145566725402
Q9UBS0	-1.695581203211113
P31751	-0.3169322996623638
P51812	-1.700593578059387
P17612	-0.4568449592710646
P31749	-0.4090226604016354
P27361	-1.4435177571348583
P11309	-0.66710792319352
P06493	-1.345873678157848
P16066	-1.368121168093738
O75582	-0.6462509502229477
P24723	-0.42270666106934485
Q16539	-1.3428902214397875
P41743	-0.49733109032767997
P23443	-0.7280477272279811
Q00526	-0.5968232438202774
O76039	-1.4071793324479294
Q16512	-1.5865104321553993
Q9P1W9	-0.7325904716513398
P45983	-0.6758811447000794
P45984	-0.6758811447000794
P53779	-0.6758811447000794
Q9UPZ9	-1.1726015421694622
P20794	-1.1726015421694622
Q9UHD2	-1.1726015421694622
P10398	-1.1634436488934092
P15056	-1.1634436488934092
O15264	-1.171460695465065
Q13976	-0.8098140770362594
P28482	-1.0998466971898706
P49137	-0.8745140147515795
Q13164	-0.8695540194737013
P24941	-1.0493859693652694
Q16644	-1.0154699340143019
Q00535	-0.908757052192052
