Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
PIK3C2A,0,22,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,-32.665028298455056,6,PTM-SEA,0.9,4,CAMK,CAMKL,CHK1,CHEK1
AURKA,0,22,PTM-SEA,0,1,OTHER,AUR,AUR,AURKA
RPS6KA5,-19.73255312095038,10,PTM-SEA,0.66,3,AGC,RSK,MSK,RPS6KA5
CHEK2,-37.363295053704036,4,PTM-SEA,0.94,4,CAMK,RAD53,RAD53,CHEK2
RAF1,-6.308457530945482,16,PTM-SEA,0.54,3,TKL,RAF,RAF,RAF1
PRKCB,-39.85584146126789,2,PTM-SEA,0.98,4,AGC,PKC,ALPHA,PRKCB
CDK1,-39.12797537586924,3,PTM-SEA,0.96,4,CMGC,CDK,CDC2,CDK1
ARAF,0,22,PTM-SEA,0,1,TKL,RAF,RAF,ARAF
PIM1,26.062880853332373,8,PTM-SEA,0.7,3,CAMK,PIM,PIM,PIM1
BRAF,0,22,PTM-SEA,0,1,TKL,RAF,RAF,BRAF
PRKCA,-24.770443278931484,9,PTM-SEA,0.68,3,AGC,PKC,ALPHA,PRKCA
PRKACA,-1.6376231636583534,21,PTM-SEA,0.44,2,AGC,PKA,PKA,PRKACA
PRKACG,26.062880853332373,8,PTM-SEA,0.7,3,AGC,PKA,PKA,PRKACG
PRKACB,26.062880853332373,8,PTM-SEA,0.7,3,AGC,PKA,PKA,PRKACB
RPS6KB1,0,22,PTM-SEA,0,1,AGC,RSK,P70,RPS6KB1
CDK2,-3.62324770279026,17,PTM-SEA,0.52,3,CMGC,CDK,CDC2,CDK2
MAPK3,-19.663619450239953,11,PTM-SEA,0.64,3,CMGC,MAPK,ERK1,MAPK3
MAPK1,2.047587882574324,20,PTM-SEA,0.46,2,CMGC,MAPK,ERK1,MAPK1
AKT1,-11.124137043869716,13,PTM-SEA,0.6,3,AGC,AKT,AKT,AKT1
AKT2,0,22,PTM-SEA,0,1,AGC,AKT,AKT,AKT2
PRKCI,26.062880853332373,8,PTM-SEA,0.7,3,AGC,PKC,IOTA,PRKCI
MAPK8,0,22,PTM-SEA,0,1,CMGC,MAPK,JNK,MAPK8
MAPKAPK2,0,22,PTM-SEA,0,1,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
RPS6KA3,-9.904365933023277,14,PTM-SEA,0.58,3,AGC,RSK,RSK,RPS6KA3
NEK2,0,22,PTM-SEA,0,1,OTHER,NEK,NEK2,NEK2
PRKAA2,0,22,PTM-SEA,0,1,CAMK,CAMKL,AMPK,PRKAA2
AURKB,-2.623253775838447,18,PTM-SEA,0.5,3,OTHER,AUR,AUR,AURKB
CDK5,-41.919192641385095,1,PTM-SEA,1,4,CMGC,CDK,CDK5,CDK5
PRKCE,26.062880853332373,8,PTM-SEA,0.7,3,AGC,PKC,ETA,PRKCE
PRKCQ,26.062880853332373,8,PTM-SEA,0.7,3,AGC,PKC,DELTA,PRKCQ
PRKCZ,0,22,PTM-SEA,0,1,AGC,PKC,IOTA,PRKCZ
PRKCD,0,22,PTM-SEA,0,1,AGC,PKC,DELTA,PRKCD
PRKAA1,6.369476933649005,15,PTM-SEA,0.56,3,CAMK,CAMKL,AMPK,PRKAA1
PAK1,2.4398400361441746,19,PTM-SEA,0.48,2,STE,STE20,PAKA,PAK1
PRKG2,0,22,PTM-SEA,0,1,AGC,PKG,PKG,PRKG2
ROCK1,0,22,PTM-SEA,0,1,AGC,DMPK,ROCK,ROCK1
ATR,0,22,PTM-SEA,0,1,ATYPICAL,PIKK,ATR,ATR
PRKG1,-33.08217620992086,5,PTM-SEA,0.92,4,AGC,PKG,PKG,PRKG1
PRKD1,26.062880853332373,8,PTM-SEA,0.7,3,CAMK,PKD,PKD,PRKD1
RPS6KA2,0,22,PTM-SEA,0,1,AGC,RSK,RSK,RPS6KA2
RPS6KA1,-14.893087767475377,12,PTM-SEA,0.62,3,AGC,RSK,RSK,RPS6KA1
PKN1,-31.746161455945778,7,PTM-SEA,0.88,4,AGC,PKN,PKN,PKN1
MAPK14,0,22,PTM-SEA,0,1,CMGC,MAPK,P38,MAPK14
PIM3,26.062880853332373,8,PTM-SEA,0.7,3,CAMK,PIM,PIM,PIM3
BRSK2,0,22,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK2
BRSK1,0,22,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK1
PLK3,0,22,PTM-SEA,0,1,OTHER,PLK,PLK2,PLK3
NEK6,0,22,PTM-SEA,0,1,OTHER,NEK,NEK6,NEK6
PIM2,26.062880853332373,8,PTM-SEA,0.7,3,CAMK,PIM,PIM,PIM2
AKT3,0,22,PTM-SEA,0,1,AGC,AKT,AKT,AKT3
AAK1,298,268,KEA3,0.09714285714285714,1,OTHER,NAK,BIKE,AAK1
ABL1,73.33333333333333,59,KEA3,0.8171428571428572,4,TK,ABL,ABL,ABL1
ABL2,95.33333333333333,97,KEA3,0.6914285714285714,3,TK,ABL,ABL,ABL2
ACVR1,89.5,86,KEA3,0.7314285714285714,3,TKL,STKR,TYPE1,ACVR1
ACVR1B,146,160,KEA3,0.4714285714285714,2,TKL,STKR,TYPE1,ACVR1B
ACVR2B,213,219,KEA3,0.2571428571428571,2,TKL,STKR,TYPE2,ACVR2B
AKT1,45.666666666666664,28,KEA3,0.92,4,AGC,AKT,AKT,AKT1
AKT2,76.33333333333333,64,KEA3,0.8,4,AGC,AKT,AKT,AKT2
AKT3,10,1,KEA3,1,4,AGC,AKT,AKT,AKT3
ALK,94.5,96,KEA3,0.6971428571428572,3,TK,ALK,ALK,ALK
ARAF,90,88,KEA3,0.7257142857142858,3,TKL,RAF,RAF,ARAF
ATM,106.33333333333333,107,KEA3,0.66,3,ATYPICAL,PIKK,ATM,ATM
ATR,82.33333333333333,74,KEA3,0.7685714285714286,4,ATYPICAL,PIKK,ATR,ATR
AURKA,51,33,KEA3,0.9028571428571428,4,OTHER,AUR,AUR,AURKA
AURKB,36.333333333333336,21,KEA3,0.9428571428571428,4,OTHER,AUR,AUR,AURKB
AURKC,185.5,202,KEA3,0.3171428571428571,2,OTHER,AUR,AUR,AURKC
AXL,196,211,KEA3,0.28285714285714286,2,TK,AXL,AXL,AXL
BLK,257,241,KEA3,0.1742857142857143,1,TK,SRC,SRCB,BLK
BMP2K,325,290,KEA3,0.03428571428571429,1,OTHER,NAK,BIKE,BMP2K
BMPR1A,120,122,KEA3,0.6057142857142858,3,TKL,STKR,TYPE1,BMPR1A
BMPR1B,100,102,KEA3,0.6771428571428572,3,TKL,STKR,TYPE1,BMPR1B
BMPR2,159,176,KEA3,0.40285714285714286,2,TKL,STKR,TYPE2,BMPR2
BMX,126.66666666666667,135,KEA3,0.5685714285714286,3,TK,TEC,TEC,BMX
BRAF,14.5,6,KEA3,0.9857142857142858,4,TKL,RAF,RAF,BRAF
BRSK1,118.33333333333334,119,KEA3,0.6171428571428571,3,CAMK,CAMKL,BRSK,BRSK1
BRSK2,303,273,KEA3,0.08285714285714285,1,CAMK,CAMKL,BRSK,BRSK2
BTK,77,66,KEA3,0.7914285714285715,4,TK,TEC,TEC,BTK
BUB1,162.5,180,KEA3,0.38857142857142857,2,OTHER,BUB,BUB,BUB1
CAMK1,175.33333333333334,192,KEA3,0.3485714285714286,2,CAMK,CAMK1,CAMK1,CAMK1
CAMK1D,243,233,KEA3,0.20285714285714285,1,CAMK,CAMK1,CAMK1,CAMK1D
CAMK2A,76.66666666666667,65,KEA3,0.7942857142857143,4,CAMK,CAMK2,CAMK2,CAMK2A
CAMK2B,130,141,KEA3,0.5457142857142857,3,CAMK,CAMK2,CAMK2,CAMK2B
CAMK2D,86,79,KEA3,0.7514285714285714,4,CAMK,CAMK2,CAMK2,CAMK2D
CAMK2G,57,39,KEA3,0.8828571428571429,4,CAMK,CAMK2,CAMK2,CAMK2G
CAMK4,147.33333333333334,162,KEA3,0.45714285714285713,2,CAMK,CAMK1,CAMK1,CAMK4
CAMKK1,148.33333333333334,163,KEA3,0.4542857142857143,2,OTHER,CAMKK,META,CAMKK1
CAMKK2,119,121,KEA3,0.6085714285714285,3,OTHER,CAMKK,META,CAMKK2
CDC42BPA,283,258,KEA3,0.12571428571428572,1,AGC,DMPK,GEK,CDC42BPA
CDC7,194.5,210,KEA3,0.2885714285714286,2,OTHER,CDC7,CDC7,CDC7
CDK1,31.5,18,KEA3,0.9514285714285714,4,CMGC,CDK,CDC2,CDK1
CDK11A,332,295,KEA3,0.02,1,CMGC,CDK,CDK11,CDK11A
CDK11A,332,295,KEA3,0.02,1,NA,NA,NA,CDK11A
CDK12,316,284,KEA3,0.05142857142857143,1,CMGC,CDK,CRK7,CDK12
CDK15,260,243,KEA3,0.16857142857142857,1,CMGC,CDK,PFTAIRE,CDK15
CDK16,232,231,KEA3,0.21142857142857144,1,CMGC,CDK,PCTAIRE,CDK16
CDK18,252,239,KEA3,0.18285714285714286,1,CMGC,CDK,PCTAIRE,CDK18
CDK19,85,76,KEA3,0.7628571428571429,4,CMGC,CDK,CDK8,CDK19
CDK2,43.333333333333336,25,KEA3,0.9314285714285714,4,CMGC,CDK,CDC2,CDK2
CDK20,196,211,KEA3,0.28285714285714286,2,CMGC,CDK,CCRK,CDK20
CDK3,163.33333333333334,182,KEA3,0.38285714285714284,2,CMGC,CDK,CDC2,CDK3
CDK4,66.33333333333333,49,KEA3,0.8514285714285714,4,CMGC,CDK,CDK4,CDK4
CDK5,69,53,KEA3,0.8342857142857143,4,CMGC,CDK,CDK5,CDK5
CDK6,68,51,KEA3,0.8428571428571429,4,CMGC,CDK,CDK4,CDK6
CDK7,124,129,KEA3,0.5857142857142857,3,CMGC,CDK,CDK7,CDK7
CDK8,139,153,KEA3,0.5,3,CMGC,CDK,CDK8,CDK8
CDK9,124.66666666666667,130,KEA3,0.5828571428571429,3,CMGC,CDK,CDK9,CDK9
CDKL3,302,272,KEA3,0.08571428571428572,1,CMGC,CDKL,CDKL,CDKL3
CDKL5,88,83,KEA3,0.74,3,CMGC,CDKL,CDKL,CDKL5
CHEK1,25.333333333333332,13,KEA3,0.9657142857142857,4,CAMK,CAMKL,CHK1,CHEK1
CHEK2,93.33333333333333,93,KEA3,0.7057142857142857,3,CAMK,RAD53,RAD53,CHEK2
CHUK,114,114,KEA3,0.6342857142857142,3,OTHER,IKK,IKK,CHUK
CLK1,160,177,KEA3,0.4,2,CMGC,CLK,CLK,CLK1
CLK2,105.5,106,KEA3,0.6657142857142857,3,CMGC,CLK,CLK,CLK2
CLK3,177,196,KEA3,0.33714285714285713,2,CMGC,CLK,CLK,CLK3
CLK4,321,288,KEA3,0.04,1,CMGC,CLK,CLK,CLK4
CSF1R,334,297,KEA3,0.014285714285714285,1,TK,PDGFR,PDGFR,CSF1R
CSK,128.33333333333334,139,KEA3,0.5542857142857143,3,TK,CSK,CSK,CSK
CSNK1A1,115.33333333333333,115,KEA3,0.6285714285714286,3,CK1,CK1,CK1-A,CSNK1A1
CSNK1A1L,338,301,KEA3,0.002857142857142857,1,CK1,CK1,CK1-A,CSNK1A1L
CSNK1D,62.666666666666664,44,KEA3,0.8685714285714285,4,CK1,CK1,CK1-D,CSNK1D
CSNK1E,91.33333333333333,91,KEA3,0.7142857142857143,3,CK1,CK1,CK1-D,CSNK1E
CSNK1G1,224.5,225,KEA3,0.23142857142857143,1,CK1,CK1,CK1-G,CSNK1G1
