UniprotID	Score
P51817	0.9895218209115586
P53778	3
Q16566	1.4773001448605099
Q9P1W9	0.6099185277399748
O75582	0.5163616794605321
Q13554	1.791445666473968
P11309	0.4229107950536699
O43293	1.924110567778584
Q13976	0.4664179152077961
O15264	1.0237210548464866
Q9UQM7	0.8801425783433277
P24941	0.91951810226003206
O60285	0.9765774955697664
P45984	0.6184668331833523
P49137	0.5398409284155257
Q9Y243	0.5275227255296584
P22694	0.4056642049428736
Q13237	0.3513068059680986
Q9UBS0	0.35899403213159387
Q13557	0.3838476192907323
Q96BR1	0.31892332308177496
Q13164	0.39543341286172495
P53779	0.4084497169672736
P45983	0.4084497169672736
Q13555	0.30877921503641703
Q16539	0.24498691020061747
O96017	0.2640031369870668
Q00526	0.029654194702637415
Q16644	0.22542131758127804
P42345	0.028438675070990627
O43930	0.02067280208309974
Q9HBY8	0.07029331406770467
P31751	0.1591837268354528
O00141	0.11138162878969471
P16066	0.07825349816992988
P51812	0.114025634428784
P48729	-0.0814247364923375
Q9UK32	-0.018013435838631242
P20594	-0.22146512251756256
P17252	0.04458651354753718
P11802	-0.2847333838565116
P17612	0.11363038780714518
Q8N568	-0.19673531013219492
P23443	-0.09212327430327161
O75676	-0.45877681089552214
Q9Y2H1	-0.2894402362669135
P06493	-0.3853053451650328
Q15759	0.1965091152675993
Q13131	-0.29725941253894295
P27361	0.2014044177816361
P28482	0.16382642375705725
P11801	-0.46963875859904425
O14757	-0.17374739447123266
P78527	-0.2716782687259629
Q00532	-0.4561715306783376
Q00534	-0.4632327358533952
P31749	-0.04180028395398505
P49674	-0.5697137486130974
P48730	-0.5697137486130974
P53355	-0.559611265567515
Q13535	-0.4034219568216675
Q9H4B4	-0.5003390221696695
P49841	-0.5939067842330772
P68400	-0.6545826186051267
Q32MK0	-0.6774042245201031
Q14164	-0.5761745337657671
P05771	-0.30347746350771443
Q05655	-0.2571850906957467
P05129	-0.49276607445501774
P50613	-0.5394986694148121
P24723	-0.6122781203559216
Q15131	-0.8873972006966744
O76039	-1.2070614480778412
Q05513	-0.93994412275508
Q00535	-1.0440999999403502
Q96Q40	-0.9514121871526808
Q96GD4	-1.2699710553702352
Q15349	-0.5775321591534848
Q16512	-0.6536986684601596
O14965	-1.4726345065704554
Q04759	-0.6744451196488734
Q15418	-0.815419805022028
Q15139	-1.2175461057104864
P41743	-0.9532151374392073
Q02156	-0.731062910218899
Q16513	-0.6409582801767986
O75116	-0.6528094098266486
O94921	-0.9196836587474362
O15111	-1.1042376190983616
Q13464	-1.3427067211314878
Q00537	-1.3914554627305211
Q9UQ88	-1.4322336706931025
Q14004	-1.4730098780224268
Q8NI60	-1.1149899622754749
Q9Y478	-1.195554384173796
Q86SG6	-1.5904085571999
P50750	-1.453330168590247
O14920	-1.589675613237373
P10398	-3
P15056	-3
Q86V86	-3
Q13153	-1.9142643467842237
P04049	-1.852956526342132
