Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
PIK3C2A,0,22,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,47.79268171542276,2,PTM-SEA,0.98,4,CAMK,CAMKL,CHK1,CHEK1
AURKA,0,22,PTM-SEA,0,1,OTHER,AUR,AUR,AURKA
RPS6KA5,-14.63330196206119,14,PTM-SEA,0.58,3,AGC,RSK,MSK,RPS6KA5
CHEK2,48.508658696079486,1,PTM-SEA,1,4,CAMK,RAD53,RAD53,CHEK2
RAF1,21.635313597191978,9,PTM-SEA,0.84,4,TKL,RAF,RAF,RAF1
PRKCB,-14.298882878096713,15,PTM-SEA,0.56,3,AGC,PKC,ALPHA,PRKCB
CDK1,45.95587342586097,3,PTM-SEA,0.96,4,CMGC,CDK,CDC2,CDK1
ARAF,0,22,PTM-SEA,0,1,TKL,RAF,RAF,ARAF
PIM1,-16.03785302277115,13,PTM-SEA,0.6,3,CAMK,PIM,PIM,PIM1
BRAF,0,22,PTM-SEA,0,1,TKL,RAF,RAF,BRAF
PRKCA,-16.706273750987094,12,PTM-SEA,0.78,4,AGC,PKC,ALPHA,PRKCA
PRKACA,9.997711467621645,17,PTM-SEA,0.52,3,AGC,PKA,PKA,PRKACA
PRKACG,-16.03785302277115,13,PTM-SEA,0.6,3,AGC,PKA,PKA,PRKACG
PRKACB,-16.03785302277115,13,PTM-SEA,0.6,3,AGC,PKA,PKA,PRKACB
RPS6KB1,0,22,PTM-SEA,0,1,AGC,RSK,P70,RPS6KB1
CDK2,0.7665375191878355,20,PTM-SEA,0.46,2,CMGC,CDK,CDC2,CDK2
MAPK3,33.01415539711436,6,PTM-SEA,0.9,4,CMGC,MAPK,ERK1,MAPK3
MAPK1,30.44054870747329,8,PTM-SEA,0.86,4,CMGC,MAPK,ERK1,MAPK1
AKT1,21.400550401464315,10,PTM-SEA,0.82,4,AGC,AKT,AKT,AKT1
AKT2,0,22,PTM-SEA,0,1,AGC,AKT,AKT,AKT2
PRKCI,-16.03785302277115,13,PTM-SEA,0.6,3,AGC,PKC,IOTA,PRKCI
MAPK8,0,22,PTM-SEA,0,1,CMGC,MAPK,JNK,MAPK8
MAPKAPK2,0,22,PTM-SEA,0,1,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
RPS6KA3,10.315194412026125,16,PTM-SEA,0.54,3,AGC,RSK,RSK,RPS6KA3
NEK2,0,22,PTM-SEA,0,1,OTHER,NEK,NEK2,NEK2
PRKAA2,0,22,PTM-SEA,0,1,CAMK,CAMKL,AMPK,PRKAA2
AURKB,-32.59066899066799,7,PTM-SEA,0.88,4,OTHER,AUR,AUR,AURKB
CDK5,33.53487257508904,5,PTM-SEA,0.92,4,CMGC,CDK,CDK5,CDK5
PRKCE,-16.03785302277115,13,PTM-SEA,0.6,3,AGC,PKC,ETA,PRKCE
PRKCQ,-16.03785302277115,13,PTM-SEA,0.6,3,AGC,PKC,DELTA,PRKCQ
PRKCZ,0,22,PTM-SEA,0,1,AGC,PKC,IOTA,PRKCZ
PRKCD,0,22,PTM-SEA,0,1,AGC,PKC,DELTA,PRKCD
PRKAA1,18.927583481953647,11,PTM-SEA,0.8,4,CAMK,CAMKL,AMPK,PRKAA1
PAK1,-3.6545216796977944,19,PTM-SEA,0.48,2,STE,STE20,PAKA,PAK1
PRKG2,0,22,PTM-SEA,0,1,AGC,PKG,PKG,PRKG2
ROCK1,0,22,PTM-SEA,0,1,AGC,DMPK,ROCK,ROCK1
ATR,0,22,PTM-SEA,0,1,ATYPICAL,PIKK,ATR,ATR
PRKG1,7.454542394186535,18,PTM-SEA,0.5,3,AGC,PKG,PKG,PRKG1
PRKD1,-16.03785302277115,13,PTM-SEA,0.6,3,CAMK,PKD,PKD,PRKD1
RPS6KA2,0,22,PTM-SEA,0,1,AGC,RSK,RSK,RPS6KA2
RPS6KA1,-0.22334860994805794,21,PTM-SEA,0.44,2,AGC,RSK,RSK,RPS6KA1
PKN1,38.43976802517537,4,PTM-SEA,0.94,4,AGC,PKN,PKN,PKN1
MAPK14,0,22,PTM-SEA,0,1,CMGC,MAPK,P38,MAPK14
PIM3,-16.03785302277115,13,PTM-SEA,0.6,3,CAMK,PIM,PIM,PIM3
BRSK2,0,22,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK2
BRSK1,0,22,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK1
PLK3,0,22,PTM-SEA,0,1,OTHER,PLK,PLK2,PLK3
