Kinase,UniprotID,Score
NUAK1,O60285,NA
DAPK3,O43293,NA
PRKY,O43930,0.31729810306560374
CDK2,P24941,0.2511853907802174
MAPK9,P45984,0.35506430993553423
NPR2,P20594,0.3510687373640967
MAPK10,P53779,0.5034269450500767
MAPK8,P45983,0.5034269450500767
CDK4,P11802,0.3254456822971049
PRKAA1,Q13131,0.5806908397267053
PRKACA,P17612,0.8803503882715216
MAPK13,O15264,0.4671162550854573
PRKCA,P17252,0.7597187586166159
MAPK3,P27361,0.4818693509566838
CSNK1A1,P48729,0.530418092745188
CDK9,P50750,NA
AKT3,Q9Y243,0.6053307861815858
PRKCB,P05771,0.7379180823239531
CDK17,Q00537,NA
SGK2,Q9HBY8,0.7548693361549327
RPS6KB2,Q9UBS0,0.8851004738076985
SGK3,Q96BR1,0.749618455415409
CDK6,Q00534,0.4787115885990086
NPR1,P16066,0.7924976811202176
MAPK7,Q13164,0.5424054267019629
CDK13,Q14004,NA
CDKL5,O76039,0.535952184834648
DCLK2,Q8N568,0.7390208114277591
MAPK1,P28482,0.5604005379128438
CSNK2A1,P68400,NA
RAF1,P04049,NA
ARAF,P10398,NA
BRAF,P15056,NA
PIM3,Q86V86,NA
MAPK14,Q16539,0.6663787606867855
CDK7,P50613,0.6980872629573819
RPS6KA6,Q9UK32,1.932084133229616
MYLK3,Q32MK0,0.5652141055336383
DAPK1,P53355,NA
PIM2,Q9P1W9,NA
CDK1,P06493,0.7336009666401878
SGK1,O00141,0.9223963134591066
PRKCD,Q05655,0.934261380411068
MAPK12,P53778,0.6351091281349903
GSK3B,P49841,NA
MAPK11,Q15759,0.6610553968047493
RPS6KA4,O75676,0.6398803680916306
PRKCI,P41743,NA
CHUK,O15111,0.7016435542606015
MTOR,P42345,0.7817618772850556
AURKB,Q96GD4,0.6964590461198478
CAMK4,Q16566,NA
CDK5,Q00535,NA
PRKACB,P22694,1.0125069387083614
IKBKE,Q14164,0.8151706379459429
IKBKB,O14920,NA
PRKCH,P24723,0.9052801539853703
ROCK2,O75116,NA
ROCK1,Q13464,NA
AURKA,O14965,NA
RPS6KA2,Q15349,1.0714740555645252
CDK11A,Q9UQ88,0.8034476075347481
PSKH1,P11801,0.7779578354226784
PRKX,P51817,1.1835863119236696
RPS6KA1,Q15418,1.0049449829955732
CHEK1,O14757,0.9315358432616113
CHEK2,O96017,1.094837205520397
STK38L,Q9Y2H1,0.921786282601565
PRKCQ,Q04759,1.1126924817861927
PRKG2,Q13237,1.2777849893710893
PAK1,Q13153,NA
RPS6KA3,P51812,1.1408789199955187
CDK3,Q00526,0.8861674203991978
PLK3,Q9H4B4,NA
PRKCG,P05129,1.096955066185959
PRKCE,Q02156,1.2470218944280422
PKN1,Q16512,0.9869679049045111
CAMK2A,Q9UQM7,0.9960625443773684
PRKG1,Q13976,1.349001642101285
NEK8,Q86SG6,NA
COQ8A,Q8NI60,NA
CDK10,Q15131,1.1282994346699966
CDK14,O94921,NA
RPS6KB1,P23443,1.3512815206982676
PRKAB1,Q9Y478,NA
PKN2,Q16513,1.1238339320255886
RPS6KA5,O75582,1.543816832402635
MAPKAPK2,P49137,NA
ATR,Q13535,1.3794656035423414
CAMK2D,Q13557,NA
AKT2,P31751,1.7820669266948874
CDKL1,Q00532,1.420851630977818
AKT1,P31749,1.9856045865898293
MAPKAPK3,Q16644,2.2577392263967724
CAMK2G,Q13555,NA
PRKDC,P78527,1.589187295154632
PIM1,P11309,1.8283214153684004
CAMK2B,Q13554,NA
CDK15,Q96Q40,1.9230771697553817
CSNK1E,P49674,1.881661747673714
CSNK1D,P48730,1.881661747673714
PRKD1,Q15139,2.085841937028944
PRKCZ,Q05513,NA
