UniprotID	Score
Q15418	-0.21665233124031477
Q8N568	-0.3126278360358137
Q9UK32	-0.23687215060761457
Q9UBS0	-0.22042082763544005
Q16644	-0.13242481292052127
O75676	0.27514361454316255
Q86SG6	0.2762891935344998
O14757	-0.2314429840151208
Q92772	0.266281532797677
P17612	-0.1152286966531469
Q13164	0.22251216372457325
O96017	-0.1682615359190455
Q15349	-0.14132671320883902
P11309	-0.06966178642460985
P48729	0.21537773047429787
P49137	-0.10663894490916288
Q9P1W9	-0.07981862324245692
Q13976	-0.10024616982312974
Q9UPZ9	0.16531093102296682
Q9UHD2	0.16531093102296682
P20794	0.16531093102296682
P17252	0.10076510358081785
P04049	-0.12016993492488327
P16066	-0.10620026245010691
O76039	0.14118386268925492
Q13237	-0.08730233730062378
Q02156	0.08869190515992076
Q9UQ88	0.11170120561644614
Q15759	-0.10190874406831606
P53778	0.08770096773833377
Q96GD4	0.09781973654835784
P24941	0.06835726602248615
P24723	0.07062524264270463
P45983	0.04846265882001084
P51812	0.00200517633950175
Q00526	0.0649548488921824
P53779	0.04846265882001084
P23443	-0.04617193447404504
Q04759	0.05348250316379985
P45984	0.04846265882001084
P05771	0.05633990852287844
O15264	0.02260711113427829
Q96BR1	0.05269311319118723
P05129	0.04431696647202592
O00141	0.05962077211364661
Q8NI60	-0.03803128775443548
O75582	-0.03450944271073512
Q00535	-0.03645491558878477
P27361	0.02118303856685003
Q05655	0.03086720624351871
P28482	0.02842849282604092
O43930	0.03625182388106784
Q16539	0.01049304839989756
Q13554	0.0460863327516749
P31749	-0.01360217175125472
P50613	0.02915913681299793
Q05513	0.02142734347616859
Q13153	0.02327632936780326
Q9HBY8	0.02264061946973204
Q16512	-0.02397745539574491
P22694	-0.01935738737202732
P51817	-0.0132081253748277
P31751	-0.01360217175125472
P06493	-0.0022127878334045
P41743	0.00651702365373093
P15056	-4.455565493207229e-4
P10398	-4.455565493207229e-4
