Kinase,UniprotID,Score
CHUK,O15111,NA
PRKACA,P17612,NA
IKBKB,O14920,NA
PRKG1,Q13976,NA
PRKG2,Q13237,NA
STK38L,Q9Y2H1,NA
CAMK4,Q16566,NA
RPS6KB2,Q9UBS0,NA
PRKD1,Q15139,NA
CAMK2D,Q13557,NA
RPS6KA5,O75582,NA
CAMK2G,Q13555,NA
CDK15,Q96Q40,NA
CDK14,O94921,NA
PRKX,P51817,NA
CAMK2A,Q9UQM7,NA
CSNK1E,P49674,NA
PRKCE,Q02156,NA
ARAF,P10398,NA
BRAF,P15056,NA
PIM3,Q86V86,NA
PRKCA,P17252,NA
PRKCD,Q05655,NA
PRKACG,P22612,NA
CSNK1D,P48730,NA
PRKACB,P22694,NA
AKT3,Q9Y243,NA
AKT1,P31749,NA
CSNK2A1,P68400,NA
PIM1,P11309,NA
SGK2,Q9HBY8,NA
PRKDC,P78527,NA
CSNK1A1,P48729,NA
RPS6KA4,O75676,NA
PRKCI,P41743,NA
PSKH1,P11801,NA
PLK3,Q9H4B4,NA
CAMK2B,Q13554,NA
PIM2,Q9P1W9,NA
MAP3K14,Q99558,NA
IKBKE,Q14164,NA
PAK1,Q13153,NA
NEK8,Q86SG6,NA
DAPK1,P53355,NA
MYLK3,Q32MK0,NA
PRKCB,P05771,NA
PRKCG,P05129,NA
CDKL1,Q00532,NA
AKT2,P31751,NA
CDK10,Q15131,NA
SGK3,Q96BR1,NA
RAF1,P04049,NA
PKN2,Q16513,NA
PRKY,O43930,NA
MTOR,P42345,NA
CHEK2,O96017,NA
ATR,Q13535,NA
PRKCH,P24723,NA
MAPK11,Q15759,NA
ROCK1,Q13464,NA
SGK1,O00141,NA
RPS6KL1,Q9Y6S9,0.8346747957221524
RPS6KA2,Q15349,NA
RPS6KA1,Q15418,NA
MAPKAPK3,Q16644,NA
DAPK3,O43293,NA
TBK1,Q9UHD2,NA
ROCK2,O75116,NA
CDK7,P50613,NA
CDK4,P11802,NA
RPS6KA3,P51812,NA
CDK6,Q00534,NA
RPS6KB1,P23443,NA
PRKAA1,Q13131,NA
GSK3A,P49840,0.9384571486784826
MAPKAPK2,P49137,NA
DCLK3,Q9C098,0.9560278091853718
GSK3B,P49841,NA
AURKA,O14965,NA
PRKCQ,Q04759,NA
PKN1,Q16512,1.0027613886155853
DCLK1,O15075,NA
PRKAB1,Q9Y478,NA
CDK18,Q07002,1.0569587010378378
CDK17,Q00537,1.0547143675772017
NPR2,P20594,NA
DYRK1A,Q13627,NA
CDKL5,O76039,NA
NUAK1,O60285,NA
CDK3,Q00526,NA
DAPK2,Q9UIK4,1.2040598100042146
RPS6KA6,Q9UK32,NA
CDK13,Q14004,NA
NPR1,P16066,NA
MAK,P20794,1.2989510290705324
CDKL4,Q5MAI5,NA
DCLK2,Q8N568,NA
COQ8A,Q8NI60,1.202880631151839
CILK1,Q9UPZ9,1.5306194603425738
AURKB,Q96GD4,NA
TEX14,Q8IWB6,1.5995857648964957
MAPK1,P28482,1.2207795271899202
CDKL2,Q92772,1.6300522078806388
MAPK3,P27361,1.224353076107356
PRKCZ,Q05513,NA
MAPK12,P53778,1.5322833245510499
CDK11A,Q9UQ88,NA
MAPK14,Q16539,1.5525195188627618
MAPK15,Q8TD08,NA
CDK19,Q9BWU1,2.063465658375631
CDK5,Q00535,NA
CDK9,P50750,2.247730134732525
CHEK1,O14757,2.147487283884274
MAPK7,Q13164,NA
CDK2,P24941,2.400407242602874
MAPK10,P53779,1.3663897700501517
MAPK8,P45983,1.3663897700501517
MAPK9,P45984,1.866608969115727
CDK1,P06493,NA
MAPK13,O15264,3.3446378654307427
